plot ID,site,arbeitsname,Name,Betula_pendula_TL,Picea_abies_TL,Pinus_sylvestris_TL,Betula_pubescens_TL,Agrostis_capillaris_HL,Agrostis_stolonifera_HL,Betula_HL,Brachypodium_sylvaticum_HL,Calamagrostis_epigejos_HL,Callitriche_palustris_HL,Calluna_vulgaris_HL,Carex_canescens_HL,Carex_echinata_HL,Carex_nigra_HL,Carex_pilulifera_HL,Carex_rostrata_HL,Deschampsia_cespitosa_HL,Digitalis_purpurea_HL,Dryopteris_carthusiana_HL,Epilobium_angustifolium_HL,Eriophorum_angustifolium_HL,Frangula_alnus_HL,Holcus_lanatus_HL,Juncus_bulbosus_HL,Juncus_effusus_HL,Luzula_multiflora_HL,Luzula_pilosa_HL,Lycopus_europaeus_HL,Molinia_caerulea_HL,Picea_abies_HL,Pinus_sylvestris_HL,Pteridium_aquilinum_HL,Quercus_robur_HL,Rubus_caesius_HL,Salix_aurita_HL,Schedonorus_giganteus_HL,Scrophularia_nodosa_HL,Vaccinium_myrtillus_HL,Vaccinium_oxycoccos_HL,Vaccinium_vitis_idaea_HL,Typha_latifolia_HL,Campylopus_flexuosus_ML,Campylopus_pyriformis_ML,Dicranella_cerviculata_ML,Dicranodontium_denudatum_ML,Dicranum_flagellare_ML,Dicranum_scoparia_ML,Fuscocephaloziopsis_connivens_ML,Hypnum_cupressiforme_ML,Hypnum_jutlandicum_ML,Lepidozia_reptans_ML,Leucobryum_glaucum_ML,Lophocolea_heterophylla_ML,Mnium_hornum_ML,Pohlia_nutans_ML,Polytrichum_formosum_ML,Riccardia_latifrons_ML,Sphagnum_auriculatum_ML,Sphagnum_capillifolium_ML,Sphagnum_cuspidatum_ML,Sphagnum_fallax_ML,Sphagnum_fimbriatum_ML,Sphagnum_girgensohnii_ML,Sphagnum_russowii_ML,Sphagnum_squarrosum_ML,Tetraphis_pellucida_ML,Betula_pendula_SL,Betula_pubescens_SL,Fagus_sylvatica_SL,Frangula_alnus_SL,Picea_abies_SL,Pinus_sylvestris_SL,Salix_aurita_SL
1,Meu_trock,WM1,MT1,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,18,,
2,Meu_trock,WM2,MT2,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,18,,,,,,"0,5",,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,
3,Meu_trock,WM3,MT3,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,"0,5",,,,,,"4,5",,,,,,,,,,,"0,5",,,,,,,18,,,,,,,,,,,38,,,,,,
4,Meu_trock,WM4,MT4,,,38,,,,,,,,,,,,,,,,,,,"0,1",,,,,,,,,"0,1",18,,,,,,"4,5",,,,,,,,,,,"0,1",,,,,,,18,,,,,,,,,,,,,,,,,
5,Meu_trock,WM5,MT5,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,"4,5",,,,,,"0,5",,,,,"0,1",,,,,,"0,1",,,,,,,18,,,,,,,,,,"0,1",,,,,,"4,5",
6,Meu_trock,WM6,MT6,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,18,,"0,1","4,5",,"0,5",,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,
7,Meu_trock,WM7,MT7,,,"4,5",,,,"0,5",,,,,,,,,,,,"4,5",,,"0,1",,,,,,,18,,,"4,5",,,,,,"0,5",,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,,
8,Meu_trock,WM8,MT8,,,"4,5",,,,"0,1",,,,,,,,,,,,"4,5",,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,"4,5",
9,Meu_trock,WM9,MT9,,,"4,5",,,,"0,5",,,,,,,,,,,,,,,,,,,,,,63,,,,,"4,5",,,,,,,,,,,,,,,,,,,,,,"4,5",,,,,,,,,,,,,,,,"4,5",
10,Meu_trock,WM10,MT10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,"0,5",,,,,,,"0,1",,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,"4,5",
