#,Date-Time (CEST/CET),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,05/02/2025 00:00:00,12.84,76.79,8.88,,
2,05/02/2025 00:10:00,12.68,76.97,8.76,,
3,05/02/2025 00:20:00,12.70,76.55,8.70,,
4,05/02/2025 00:30:00,12.69,76.71,8.72,,
5,05/02/2025 00:40:00,12.63,76.39,8.60,,
6,05/02/2025 00:50:00,12.68,76.30,8.63,,
7,05/02/2025 01:00:00,12.66,76.25,8.60,,
8,05/02/2025 01:10:00,12.62,76.84,8.68,,
9,05/02/2025 01:20:00,12.69,76.79,8.73,,
10,05/02/2025 01:30:00,12.84,76.16,8.76,,
11,05/02/2025 01:40:00,12.90,75.77,8.75,,
12,05/02/2025 01:50:00,12.86,75.65,8.68,,
13,05/02/2025 02:00:00,12.77,76.02,8.67,,
14,05/02/2025 02:10:00,12.69,75.69,8.53,,
15,05/02/2025 02:20:00,12.69,75.44,8.48,,
16,05/02/2025 02:30:00,12.66,75.70,8.50,,
17,05/02/2025 02:40:00,12.55,75.65,8.38,,
18,05/02/2025 02:50:00,12.46,75.68,8.30,,
19,05/02/2025 03:00:00,12.40,76.40,8.38,,
20,05/02/2025 03:10:00,12.22,76.29,8.18,,
21,05/02/2025 03:20:00,12.06,76.56,8.08,,
22,05/02/2025 03:30:00,11.98,76.67,8.03,,
23,05/02/2025 03:40:00,11.94,76.58,7.97,,
24,05/02/2025 03:50:00,11.93,76.95,8.03,,
25,05/02/2025 04:00:00,11.94,76.39,7.94,,
26,05/02/2025 04:10:00,12.01,76.53,8.03,,
27,05/02/2025 04:20:00,12.08,75.20,7.84,,
28,05/02/2025 04:30:00,12.15,74.48,7.77,,
29,05/02/2025 04:40:00,12.10,73.69,7.56,,
30,05/02/2025 04:50:00,12.05,73.92,7.55,,
31,05/02/2025 05:00:00,12.06,74.18,7.62,,
32,05/02/2025 05:10:00,12.08,73.27,7.46,,
33,05/02/2025 05:20:00,12.03,72.57,7.27,,
34,05/02/2025 05:30:00,12.01,73.31,7.39,,
35,05/02/2025 05:40:00,11.94,73.25,7.31,,
36,05/02/2025 05:50:00,11.84,73.84,7.34,,
37,05/02/2025 06:00:00,11.73,73.49,7.16,,
38,05/02/2025 06:10:00,11.75,73.70,7.22,,
39,05/02/2025 06:20:00,11.75,73.62,7.20,,
40,05/02/2025 06:30:00,11.86,74.50,7.49,,
41,05/02/2025 06:40:00,12.06,73.62,7.51,,
42,05/02/2025 06:50:00,12.22,75.32,7.99,,
43,05/02/2025 07:00:00,12.37,73.67,7.82,,
44,05/02/2025 07:10:00,12.52,75.94,8.41,,
45,05/02/2025 07:20:00,12.90,74.26,8.44,,
46,05/02/2025 07:30:00,13.30,75.24,9.03,,
47,05/02/2025 07:40:00,13.64,74.30,9.17,,
48,05/02/2025 07:50:00,14.02,74.06,9.49,,
49,05/02/2025 08:00:00,14.34,73.65,9.71,,
50,05/02/2025 08:10:00,14.66,72.83,9.86,,
51,05/02/2025 08:20:00,15.02,73.09,10.26,,
52,05/02/2025 08:30:00,15.45,69.66,9.95,,
53,05/02/2025 08:40:00,16.07,70.48,10.72,,
54,05/02/2025 08:50:00,17.23,62.52,10.03,,
55,05/02/2025 09:00:00,17.95,63.63,10.97,,
56,05/02/2025 09:10:00,18.48,60.02,10.60,,
57,05/02/2025 09:20:00,18.98,55.98,10.01,,
58,05/02/2025 09:30:00,19.54,51.67,9.34,,
59,05/02/2025 09:40:00,20.10,48.76,9.00,,
60,05/02/2025 09:50:00,20.34,47.42,8.81,,
61,05/02/2025 10:00:00,20.91,48.19,9.57,,
62,05/02/2025 10:10:00,21.88,44.96,9.42,,
63,05/02/2025 10:20:00,22.97,40.24,8.75,,
64,05/02/2025 10:30:00,23.89,42.70,10.47,,
65,05/02/2025 10:40:00,24.31,37.48,8.90,,
66,05/02/2025 10:50:00,24.72,36.61,8.91,,
67,05/02/2025 11:00:00,25.16,34.69,8.50,,
68,05/02/2025 11:10:00,25.54,36.37,9.54,,
69,05/02/2025 11:20:00,25.98,36.75,10.09,,
70,05/02/2025 11:30:00,26.00,33.65,8.78,,
71,05/02/2025 11:40:00,26.36,33.67,9.12,,
72,05/02/2025 11:50:00,26.38,32.48,8.60,,
73,05/02/2025 12:00:00,26.43,27.34,6.12,,
74,05/02/2025 12:10:00,26.68,31.16,8.24,,
75,05/02/2025 12:20:00,26.98,31.64,8.74,,
76,05/02/2025 12:30:00,27.19,30.68,8.45,,
77,05/02/2025 12:40:00,27.14,28.74,7.45,,
78,05/02/2025 12:50:00,27.06,29.48,7.76,,
79,05/02/2025 13:00:00,26.76,28.07,6.79,,
80,05/02/2025 13:10:00,26.56,31.07,8.10,,
81,05/02/2025 13:20:00,26.66,29.46,7.41,,
82,05/02/2025 13:30:00,26.08,32.88,8.52,,
83,05/02/2025 13:40:00,25.34,34.57,8.60,,
84,05/02/2025 13:50:00,25.12,29.36,6.03,,
85,05/02/2025 14:00:00,26.21,31.07,7.80,,
86,05/02/2025 14:10:00,26.66,29.53,7.44,,
87,05/02/2025 14:20:00,26.17,32.86,8.59,,
88,05/02/2025 14:30:00,26.34,31.27,8.00,,
89,05/02/2025 14:40:00,25.91,30.75,7.38,,
90,05/02/2025 14:50:00,26.08,34.29,9.14,,
91,05/02/2025 15:00:00,25.52,35.71,9.25,,
92,05/02/2025 15:10:00,25.66,33.82,8.57,,
93,05/02/2025 15:20:00,26.14,34.02,9.07,,
94,05/02/2025 15:30:00,25.98,34.98,9.34,,
95,05/02/2025 15:40:00,26.30,35.51,9.86,,
96,05/02/2025 15:50:00,26.52,33.24,9.06,,
97,05/02/2025 16:00:00,26.40,34.44,9.48,,
98,05/02/2025 16:10:00,25.98,33.57,8.74,,
99,05/02/2025 16:20:00,25.72,35.20,9.21,,
100,05/02/2025 16:30:00,25.74,33.55,8.52,,
101,05/02/2025 16:40:00,26.12,33.16,8.68,,
102,05/02/2025 16:50:00,26.10,32.77,8.48,,
103,05/02/2025 17:00:00,25.99,33.22,8.59,,
104,05/02/2025 17:10:00,25.92,34.73,9.19,,
105,05/02/2025 17:20:00,25.93,33.05,8.46,,
106,05/02/2025 17:30:00,25.87,32.87,8.33,,
107,05/02/2025 17:40:00,25.74,33.61,8.54,,
108,05/02/2025 17:50:00,25.61,34.34,8.75,,
109,05/02/2025 18:00:00,25.43,36.85,9.64,,
110,05/02/2025 18:10:00,25.08,33.62,7.97,,
111,05/02/2025 18:20:00,24.87,38.81,9.92,,
112,05/02/2025 18:30:00,24.60,37.65,9.22,,
113,05/02/2025 18:40:00,24.15,42.41,10.60,,
114,05/02/2025 18:50:00,23.94,40.39,9.67,,
115,05/02/2025 19:00:00,23.99,38.76,9.11,,
116,05/02/2025 19:10:00,23.87,40.79,9.76,,
117,05/02/2025 19:20:00,23.36,43.16,10.15,,
118,05/02/2025 19:30:00,22.80,43.52,9.76,,
119,05/02/2025 19:40:00,22.40,45.35,10.02,,
120,05/02/2025 19:50:00,22.01,47.73,10.43,,
121,05/02/2025 20:00:00,21.64,49.24,10.56,,
122,05/02/2025 20:10:00,21.31,50.67,10.68,,
123,05/02/2025 20:20:00,20.98,50.11,10.22,,
124,05/02/2025 20:30:00,20.51,52.16,10.39,,
125,05/02/2025 20:40:00,20.03,52.19,9.94,,
126,05/02/2025 20:50:00,19.67,53.57,10.00,,
127,05/02/2025 21:00:00,19.43,54.24,9.96,,
128,05/02/2025 21:10:00,19.15,61.54,11.60,,
